PLAYER,TEAM,GP,MPG,TS%,AST,TO,USG,ORR,DRR,REBR,Player Efficiency Rating (PER),VA,EWA
Emmanuel Mudiay,DEN,44,28.1,0.472,22,13,22.8,2.3,11.7,7,10.29,-13.2,-0.4
Aaron Brooks,IND,45,14.5,0.504,26,13,19.5,2.3,6.4,4.4,10.28,-7,-0.2
Nemanja Bjelica,MIN,53,17,0.524,14.9,12.2,16.3,4.2,17.9,10.9,10.22,-17.2,-0.6
Luc Mbah a Moute,LAC,53,22.7,0.572,6.2,10.1,10.8,3.4,8.2,5.9,10.16,-24,-0.8
Jeff Green,ORL,55,23,0.502,9.8,9.8,19,2.7,12.2,7.3,10.16,-6.5,-0.2
Shelvin Mack,UTAH,46,21.4,0.509,24.1,14.9,19.7,1.9,9.3,5.8,10.14,-12.7,-0.4
Glenn Robinson III,IND,53,21.8,0.537,10.3,8.9,11.5,4.6,14,9.4,10.11,-6.8,-0.2
Matt Barnes,SAC,52,25.1,0.502,23.4,13,16.2,4.5,20,12.2,10.08,-8.1,-0.3
Alex Abrines,OKC,45,14,0.568,8.8,8.8,15.3,2.1,6.7,4.4,10.07,-4.1,-0.1
Matthew Dellavedova,MIL,49,26.4,0.499,35.6,12.6,17,1.5,7.2,4.4,10.01,-19.2,-0.6
Buddy Hield,NO,56,20.4,0.5,12.5,7.9,19.2,1.7,13.4,7.5,9.91,-10,-0.3
Jerami Grant,PHI/OKC,55,21.2,0.543,8.7,8.5,22.6,2.4,11.8,7.1,9.85,-11.4,-0.4
Josh McRoberts,MIA,22,17.3,0.439,25.6,11.8,17.2,6.6,14.8,10.7,9.81,-9.6,-0.3
Omer Asik,NO,31,15.5,0.517,13.5,12.6,8.3,10.4,25.4,17.8,9.79,-5.8,-0.2
Jaylen Brown,BOS,53,15.5,0.514,9.3,10.2,16.7,3.8,14.8,9.3,9.7,-9.9,-0.3
Jordan McRae,CLE,35,10.8,0.485,9.2,7.2,19.3,1.8,9.9,6,9.66,-4.7,-0.2
Josh Richardson,MIA,28,31.3,0.483,17.3,9.5,18.1,1.7,10,5.8,9.66,-10.9,-0.4
Mirza Teletovic,MIL,45,16.6,0.536,9.4,9.1,18.5,1.4,15.2,8.5,9.58,-21.4,-0.7
Tony Snell,MIL,53,28.5,0.604,13.9,7.3,11.1,1.2,11.8,6.6,9.48,-22.9,-0.8
C.J. Watson,ORL,45,16.9,0.515,26.2,10.9,13.9,1.4,8.6,4.9,9.42,-18,-0.6
Mike Dunleavy,ATL/CLE,40,16.1,0.568,15.2,9.8,14.4,2.1,12.6,7.5,9.37,-10.9,-0.4
Jonas Jerebko,BOS,54,16.8,0.553,16.4,11.9,11.2,5.4,17.8,11.6,9.35,-29.1,-1
Wesley Johnson,LAC,48,13,0.458,10.7,7.1,11.7,4.4,21.9,13.4,9.32,-11,-0.4
Andrew Bogut,DAL,25,22.6,0.458,28.1,24,10.4,10.3,34.3,21.7,9.31,-10.9,-0.4
Monta Ellis,IND,47,27,0.513,24.9,14.3,15.9,0.7,10.8,5.8,9.31,-22.6,-0.8
Lavoy Allen,IND,42,14,0.462,22.6,10.4,9.9,9.9,12.5,11.2,9.22,-20,-0.7
Tomas Satoransky,WSH,38,14.3,0.494,32.7,13.9,12.8,4.2,9.4,6.8,9.2,-10.6,-0.4
Anthony Morrow,OKC,39,15.9,0.49,7,2.7,15.5,2,3.2,2.6,9.16,-12.4,-0.4
Joe Harris,BKN,47,22,0.559,11.3,11.1,15.3,1.4,12.3,6.9,9.09,-21.8,-0.7
Hollis Thompson,PHI,31,18.1,0.51,12.8,4.4,13,2.9,13.6,8.2,9.09,0,0
Nik Stauskas,PHI,53,27,0.551,19,12.5,15.1,1,10,5.5,9.09,-30.2,-1
Ben McLemore,SAC,40,17.2,0.515,10.6,10.2,17.3,2.2,7.3,4.8,9.03,-15.1,-0.5
Kelly Oubre Jr.,WSH,52,20.8,0.52,8.4,8.7,13.2,4,14.4,9.3,8.98,-24.5,-0.8
Chandler Parsons,MEM,26,19.4,0.443,17.4,6.5,18,0.7,14.1,7.2,8.94,-11.8,-0.4
Andre Roberson,OKC,56,30.6,0.485,11.9,8.1,10,4.2,14.3,9.2,8.89,-41,-1.4
Dante Cunningham,NO,42,25.1,0.537,10.3,6.5,10.2,3.3,14.2,8.7,8.89,-41.2,-1.4
Miles Plumlee,MIL/CHA,37,10.2,0.519,14.3,17.9,14.5,8.6,13.3,11,8.82,-10,-0.3
Rodney McGruder,MIA,52,26.2,0.49,17.8,8.1,11.6,5.6,9,7.3,8.67,-37.3,-1.2
Andrew Harrison,MEM,53,21.9,0.469,27.4,11.5,16.7,1.8,8.3,5,8.6,-41.6,-1.4
Jason Terry,MIL,47,17.1,0.575,27.9,9,9.5,1.5,6.1,3.9,8.52,-23.7,-0.8
Stanley Johnson,DET,52,16.7,0.477,19.7,13,14.1,3,12.4,7.6,8.49,-26.1,-0.9
Noah Vonleh,POR,47,13,0.453,5.1,17.1,13.7,11.6,23.7,17.6,8.46,-27.6,-0.9
Isaiah Canaan,CHI,32,17.8,0.49,15.1,8.2,14.8,1.1,7.9,4.4,8.46,-21.6,-0.7
Malcolm Delaney,ATL,55,17.7,0.469,26.4,13.1,19.2,0.8,10.1,5.5,8.31,-39.2,-1.3
Arron Afflalo,SAC,47,25.5,0.546,13.6,7.5,13.3,0.8,8,4.4,8.24,-40.5,-1.3
Dante Exum,UTAH,41,18.5,0.514,19.3,12.5,17.1,2.4,8.7,5.6,8.22,-31.5,-1.1
Boris Diaw,UTAH,47,18.1,0.51,26.8,16.2,15.9,3.4,9.1,6.3,8.21,-30.4,-1
Justise Winslow,MIA,18,34.7,0.397,19.1,9.5,19.5,4,12.6,8.3,8.15,-21.9,-0.7
DeAndre Liggins,CLE,44,14.6,0.501,21.9,15.1,10.9,2.1,10.3,6.3,7.96,-24.4,-0.8
Meyers Leonard,POR,47,16.2,0.484,12.6,7.8,15.9,2.7,19.7,11.1,7.94,-40.4,-1.3
Solomon Hill,NO,54,28.3,0.526,19.8,10.9,10.7,2,11.7,6.8,7.92,-58.8,-2
Patrick McCaw,GS,45,12.3,0.532,21.1,10.3,12.2,1.9,6.5,4.4,7.91,-25.5,-0.9
Dorian Finney-Smith,DAL,54,21,0.521,15.1,10.9,10.5,3.3,12,7.4,7.88,-44.5,-1.5
Jarell Martin,MEM,40,13.5,0.469,3.5,13.6,15,7.6,25.6,16.4,7.85,-29.3,-1
J.R. Smith,CLE,21,28.9,0.481,11.4,6.6,13.9,1.5,6.5,4.1,7.78,-24.6,-0.8
Troy Williams,MEM,24,17.4,0.477,10.6,15.1,16.5,1.6,10.6,6,7.76,-17.1,-0.6
Corey Brewer,HOU,57,15.7,0.491,17.5,10.7,12.9,2.5,11.4,6.9,7.69,-37.6,-1.3
Brandon Ingram,LAL,56,27.6,0.458,16.1,10.7,15.3,2.7,13.7,8,7.49,-69.6,-2.3
Kris Dunn,MIN,51,16.7,0.425,30.5,16.8,15.8,2.1,13.1,7.5,7.29,-47.3,-1.6
Randy Foye,BKN,42,19,0.506,24,15.5,15.1,0.9,12.4,6.8,7.25,-38.6,-1.3
Brandon Rush,MIN,21,16.9,0.497,14.9,11,10.4,2.6,8.7,5.6,7.21,-17.4,-0.6
Luke Babbitt,MIA,47,15.6,0.514,9.3,6.7,12.3,1.6,13.1,7.3,7.05,-37.8,-1.3
Richard Jefferson,CLE,52,19.7,0.536,14.1,10.2,11.8,2.1,11,6.7,7.04,-52.8,-1.8
Isaiah Whitehead,BKN,47,21.9,0.466,23.5,15.9,18.3,1.6,10.1,5.9,7,-61.6,-2.1
Timothe Luwawu-Cabarrot,PHI,42,11.4,0.526,14.2,15.1,15.7,2.3,11.5,6.9,6.74,-26.9,-0.9
Domantas Sabonis,OKC,56,21.6,0.474,12.4,13.4,14.4,2.9,16.1,9.5,6.65,-87.6,-2.9
Paul Zipser,CHI,23,15.2,0.466,7.9,11.8,14,2.4,13.8,8,6.27,-22.1,-0.7
Lance Thomas,NY,31,17.5,0.484,8.8,8.8,12.6,2.9,8.5,5.7,6.23,-34.6,-1.2
Mario Hezonja,ORL,40,11.1,0.449,12.2,15.6,19.8,2.4,14.8,8.4,6.2,-28.4,-0.9
Semaj Christon,OKC,40,14.8,0.378,31.7,9.8,15.1,2.6,7.8,5.2,5.97,-44.3,-1.5
Dragan Bender,PHX,38,12.7,0.474,9.9,15.7,12.9,3.5,15.8,9.4,5.86,-40.5,-1.3
Denzel Valentine,CHI,30,12.7,0.424,13,12.4,15.7,0.8,13.5,7.1,5.32,-29.5,-1
